hcp_id,specialty,tier,years_practice,historical_email_opens,historical_msl_calls,digital_engagement_score,publication_downloads,webinar_attendance,treatment,scientific_score
100151,Endocrinology,C,18,7,2,60.82386788442472,6,3,0,80.76996352929304
100152,Oncology,B,32,13,1,71.47449163952324,4,2,1,86.8623400679794
100153,Oncology,B,12,4,0,46.04284847168377,2,2,0,39.80663259429692
100154,Cardiology,A,11,9,3,51.25801204667353,1,4,0,75.83740192392438
100155,Endocrinology,C,25,9,3,70.75084427399348,0,2,0,65.77219323063848
100156,Oncology,B,14,7,0,57.70096910141762,5,2,0,52.474964630460185
100157,Neurology,B,16,9,5,62.64811064898668,1,5,1,100.02687988778308
100158,Neurology,B,17,8,3,69.6051378986881,2,1,0,59.20591827042798
100159,Oncology,C,24,6,1,57.80842355615641,4,3,1,71.89489087729447
100160,Neurology,C,34,7,1,47.415845182102316,3,1,0,53.88168079354713
100161,Oncology,B,31,8,5,84.44822721814377,3,1,1,99.32073002892521
100162,Cardiology,B,3,12,0,65.9177834297281,1,1,0,52.07834965257867
100163,Cardiology,B,12,2,3,74.26351905570645,1,0,1,58.40256668385591
100164,Cardiology,B,24,8,2,56.70400509830664,1,0,0,55.46669727239011
100165,Oncology,C,30,6,2,64.63452992626813,2,2,1,69.9330212479175
100166,Neurology,A,19,5,1,78.19908537251358,1,4,0,67.6504101445869
100167,Oncology,B,19,6,2,64.9340047126782,1,3,0,71.40172231750671
100168,Oncology,B,28,8,3,60.703451331028624,3,3,1,87.28717137019613
100169,Oncology,B,21,12,1,44.6266861724968,4,4,0,74.75778613733932
100170,Cardiology,B,26,7,1,29.761488677445907,0,2,1,56.999542788541085
100171,Neurology,B,4,7,1,87.4300655821773,3,3,0,64.06674205588214
100172,Oncology,A,32,5,0,60.320235981661476,3,3,0,51.13869824379789
100173,Cardiology,B,18,7,2,96.66001776887987,8,0,1,98.20677589503727
100174,Oncology,B,7,6,1,68.79009872891537,4,3,0,66.66056658414112
100175,Cardiology,A,32,12,3,50.84222522554802,0,2,0,60.756168194776954
100176,Oncology,A,29,11,4,57.54376920670057,3,0,0,74.7838426338733
100177,Neurology,C,23,3,3,83.68535635251679,2,1,0,65.22108342845453
100178,Oncology,B,26,12,3,81.36053912922792,2,1,0,82.68418046694391
100179,Endocrinology,B,29,2,3,74.05405857511154,1,4,0,68.25767181718516
100180,Oncology,C,22,10,2,37.27854678126245,4,2,0,69.2172863401936
100181,Oncology,B,29,8,4,37.00313378478993,3,4,0,73.78621497454053
100182,Oncology,B,5,5,1,79.40218766374832,3,0,0,54.43426992097473
100183,Endocrinology,B,3,10,2,69.1042451837844,5,1,0,74.87946494472325
100184,Endocrinology,B,32,7,3,83.48040108351303,3,2,0,78.83696040032301
100185,Oncology,B,23,4,1,58.92618285222884,0,2,1,40.53217934455973
100186,Neurology,B,24,13,0,45.82678208644933,3,2,0,66.08689869046701
100187,Neurology,C,12,12,3,64.8560906943391,2,4,0,86.83400478625205
100188,Cardiology,C,6,8,5,66.93125008104892,0,2,0,75.34395785506094
100189,Cardiology,A,28,12,2,48.47984950347894,0,2,0,69.92216083425386
100190,Oncology,A,28,4,4,41.292086944734486,0,0,0,42.05788376360765
100191,Oncology,B,4,7,1,69.97975409566943,4,2,1,74.38131194897846
100192,Endocrinology,B,23,6,0,47.17661135694253,3,2,0,40.052271128262774
100193,Endocrinology,A,29,12,3,90.19057872603656,1,4,0,92.05268995961201
100194,Cardiology,C,17,8,4,84.61346331803642,3,0,0,73.2694440057197
100195,Oncology,B,8,8,1,71.65434475927367,2,2,0,72.38586057131654
100196,Oncology,C,4,9,2,85.25362604113855,3,4,0,81.40058543806336
100197,Neurology,C,33,9,0,68.74684125084372,1,2,0,61.42083413247866
100198,Endocrinology,C,14,3,1,56.71797943180691,2,2,0,50.53997679333457
100199,Endocrinology,B,31,5,1,84.21577299960818,4,0,0,65.55141132302933
100200,Neurology,B,22,6,1,68.12979098626754,0,3,0,55.272520536112715
100201,Cardiology,B,13,8,1,53.95770875163949,6,5,0,85.27155902979237
100202,Oncology,A,21,15,0,44.89493936782139,2,2,0,55.556554040019535
100203,Oncology,B,11,4,4,49.807149653003634,0,2,1,59.775889570013334
100204,Endocrinology,B,28,12,3,77.25430828442127,2,0,0,72.02127764856492
100205,Cardiology,A,6,6,2,58.96434140778514,2,2,0,53.07085000948305
100206,Oncology,B,12,10,5,86.71379419058175,3,1,0,86.90859414123649
100207,Oncology,C,17,11,3,69.72863895426366,3,1,0,76.28164596522711
100208,Neurology,A,11,3,3,72.06129992789096,1,2,1,68.05880997400475
100209,Oncology,A,26,10,2,50.37778491144552,4,1,1,70.14347576901395
100210,Oncology,B,7,10,3,53.204619657672616,6,2,1,97.72636633925991
100211,Cardiology,C,12,6,0,39.46742888905021,3,1,0,38.27408523992407
100212,Neurology,B,21,2,3,48.63014175976358,3,1,0,46.232855063792265
100213,Neurology,A,16,7,2,51.424928341296905,2,0,0,49.71342444425414
100214,Oncology,B,5,4,1,57.09861424162051,1,1,0,45.55804378428391
100215,Neurology,C,5,14,4,89.73532889190797,6,2,0,105.48106649008824
100216,Oncology,C,21,15,2,51.81352103388143,2,2,0,81.00334115467143
100217,Oncology,B,6,7,0,79.8795571045508,5,2,1,80.94525920467102
100218,Neurology,B,34,11,3,43.53640366934346,2,2,0,65.84279070106197
100219,Cardiology,B,19,7,3,51.812094234021885,3,2,0,67.48212989483633
100220,Neurology,A,26,11,4,63.23399052143106,1,1,1,86.40897915348582
100221,Neurology,B,4,9,4,74.94641961642213,2,2,1,91.1075619024455
100222,Cardiology,C,14,11,2,60.25472938456334,4,4,0,79.96001253025324
100223,Oncology,C,13,8,0,57.22342994669746,2,1,0,59.51922402327469
100224,Oncology,B,10,8,4,71.48293773577733,5,1,0,81.059427209055
100225,Oncology,A,29,12,1,62.929629433539446,4,2,0,80.08032011108347
100226,Oncology,B,9,3,6,38.2502473574525,5,2,1,75.01967592181076
100227,Endocrinology,C,11,11,1,83.45553617010046,2,3,0,88.70054801803873
100228,Oncology,C,20,13,2,65.33804227443134,2,4,1,87.67574554229928
100229,Endocrinology,A,32,4,2,63.05966630727853,3,2,0,55.900024275342204
100230,Cardiology,B,5,7,0,63.079241735095316,0,2,0,56.4766340354535
100231,Neurology,B,17,12,2,38.87263876858376,4,4,0,81.57060374075468
100232,Cardiology,B,2,8,3,37.75547080396844,4,5,0,78.06761341464706
100233,Cardiology,C,5,7,1,87.3668262718371,5,2,1,91.79809495468002
100234,Cardiology,B,31,14,5,55.168678270182234,3,3,0,88.61211345248044
100235,Oncology,C,29,8,4,59.02869141159526,2,2,0,72.0369763254271
100236,Neurology,B,15,6,0,55.43159037244099,9,3,0,73.02652135513868
100237,Oncology,C,19,8,0,63.54037572217451,2,3,0,66.18657994860965
100238,Oncology,B,5,9,0,50.43005514663104,2,2,0,50.04895708250915
100239,Cardiology,C,2,6,4,54.17269670495965,6,1,1,72.91391212888597
100240,Oncology,B,23,5,1,57.37422636137238,3,3,0,63.51712021984287
100241,Endocrinology,B,12,10,1,66.74492440576937,2,1,1,70.42519972042889
100242,Endocrinology,B,20,10,0,69.37178248019741,2,2,0,66.83011189344799
100243,Endocrinology,B,8,6,4,59.73237742013795,2,2,0,68.09606318205064
100244,Oncology,B,28,13,1,32.89963055376589,2,2,0,59.275711032711165
100245,Oncology,B,29,5,2,74.60859745407443,1,4,0,68.28470175512511
100246,Endocrinology,C,4,7,4,69.75056678382437,0,2,0,67.72156710866247
100247,Oncology,A,14,6,3,39.418002080630615,6,2,1,74.2957802795814
100248,Endocrinology,C,34,19,2,58.69837297984486,5,4,0,101.46947729465397
100249,Endocrinology,C,23,5,0,55.476517970577426,2,3,0,54.98956502000745
100250,Endocrinology,A,34,11,1,77.0030490494071,6,5,0,97.17328989126308
100251,Oncology,B,5,11,6,69.77753232267015,3,3,0,98.38142749514287
100252,Oncology,B,22,8,1,42.28019054649789,3,1,0,47.996512602840816
100253,Endocrinology,A,26,13,2,90.7087133400687,5,2,0,93.1849652143413
100254,Oncology,B,4,4,1,59.94590256114028,5,2,0,54.30533564035109
100255,Oncology,C,10,9,1,71.0026946489713,4,0,0,61.45792172950998
100256,Cardiology,A,6,12,2,57.73736409054462,1,0,0,68.23574018669525
100257,Endocrinology,B,20,11,3,47.34625471714925,3,2,0,70.30777486767427
100258,Neurology,B,25,6,1,52.485529288053236,5,2,0,63.077123021020164
100259,Cardiology,C,21,3,3,32.56027801737124,2,2,0,40.21631400286903
100260,Oncology,A,7,6,2,30.942834417248896,4,2,0,58.54310615006859
100261,Cardiology,B,2,5,3,56.06368689211219,3,1,0,59.914449101374665
100262,Endocrinology,B,33,8,1,50.0384393683052,3,1,0,55.0455720359983
100263,Oncology,B,22,7,3,55.67529064070334,1,0,1,51.97833787907206
100264,Cardiology,C,30,4,4,46.21863068746889,8,2,0,86.0487697359775
100265,Endocrinology,C,9,5,3,94.2633619347517,4,2,0,86.67220685405204
100266,Neurology,A,4,11,2,65.16212229852658,2,0,0,69.54742931031832
100267,Neurology,B,16,16,3,60.753610843641596,3,1,0,78.70841167316102
100268,Neurology,B,9,11,3,79.96357195386823,4,2,0,88.1540527188987
100269,Oncology,B,27,7,1,92.68066957405573,4,1,0,72.0795614427132
100270,Oncology,B,16,17,1,40.695934623711125,3,0,0,64.81047779482674
100271,Neurology,B,18,9,3,65.40553775385027,1,1,0,58.53984301617014
100272,Neurology,B,2,10,3,54.01637649506853,5,2,0,71.25059042253436
100273,Endocrinology,C,27,10,1,68.73417596919762,4,2,0,72.32806923003226
100274,Endocrinology,A,20,7,4,62.73050511669851,3,2,0,75.43442811883716
100275,Cardiology,C,28,14,2,47.34330825804305,4,1,0,73.6646588557269
100276,Cardiology,B,15,10,1,74.99623219918146,0,1,0,61.542640792436856
100277,Neurology,B,15,7,5,59.01899596163092,4,2,1,96.24312824819381
100278,Cardiology,C,10,10,3,65.34000947360441,5,2,0,85.2541433474461
100279,Neurology,B,28,8,2,72.79459081236304,2,2,0,69.3801885874942
100280,Neurology,B,25,17,2,72.6674967653156,3,3,0,91.44175858069306
100281,Endocrinology,B,32,8,3,52.02754165057097,3,2,0,70.68540110257665
100282,Oncology,B,8,6,0,55.60429234751702,2,1,1,56.622043260272534
100283,Oncology,C,29,10,4,55.110345123809694,3,2,0,70.50484344736346
100284,Oncology,C,15,4,2,43.155912492029906,1,2,0,45.81924600834513
100285,Cardiology,A,15,9,2,58.196722161615064,2,1,0,62.93278359412223
100286,Oncology,A,31,9,6,67.00066527219415,2,6,0,104.24908304507522
100287,Cardiology,B,33,11,2,45.17951234971588,1,0,0,50.44080480001329
100288,Cardiology,A,12,10,4,61.42912551371538,3,2,0,86.04921341999301
100289,Oncology,B,21,11,1,74.32157586460032,0,2,0,71.02732090888595
100290,Cardiology,A,18,10,3,76.43698899810248,1,2,1,78.14003703832832
100291,Oncology,B,19,5,5,34.10602984416913,5,1,0,61.13826610607765
100292,Oncology,A,2,9,2,21.119945193867245,2,1,0,37.17646375261501
100293,Neurology,B,34,5,3,58.081623536297805,4,0,0,57.59114578989023
100294,Oncology,B,10,4,4,53.65167424620787,3,2,0,56.840040999489275
100295,Oncology,B,12,10,2,41.28149929984057,2,0,0,43.39963430777034
100296,Cardiology,C,4,15,4,55.90530302141785,3,3,0,94.33488012287822
100297,Neurology,C,15,1,3,50.25393492588761,4,1,0,52.33669476111068
100298,Oncology,B,5,13,1,47.43128433738359,2,1,0,66.35729607871355
100299,Cardiology,A,24,10,1,48.020558377838086,3,2,1,69.06440466991046
100300,Oncology,C,13,6,1,60.25757022506286,4,1,0,61.348927183210094
100301,Oncology,C,32,7,0,26.378727979199116,5,0,1,52.052860657701196
100302,Cardiology,C,27,7,1,57.529516896222205,5,2,0,67.95339555181513
100303,Cardiology,A,31,8,2,100.0,3,1,0,88.79458455395724
100304,Cardiology,C,33,11,2,72.33813068373468,4,1,0,73.4971917445197
100305,Neurology,B,18,10,1,53.54501199224951,2,2,0,65.04621822436216
100306,Endocrinology,C,20,6,2,76.18467637162682,2,3,0,79.13065209862721
100307,Cardiology,C,15,7,1,81.49374812635408,1,3,0,71.04453732829937
100308,Oncology,B,5,8,1,64.36835522744713,7,4,0,85.99180310477536
100309,Neurology,C,13,15,1,42.2707002415575,0,2,0,56.01841343538077
100310,Oncology,B,8,10,1,47.85144991791929,2,2,0,61.42620776665627
100311,Oncology,C,5,10,2,46.58796693998235,3,0,0,51.735805049880256
100312,Oncology,B,5,12,2,35.98797534308011,4,3,0,67.64091989687918
100313,Oncology,C,2,8,4,75.35902786972346,1,2,0,74.48093139328746
100314,Endocrinology,A,22,10,2,91.49290584167822,3,2,1,95.04660748280584
100315,Neurology,C,34,11,5,60.63182755936151,5,4,0,111.23607891210881
100316,Neurology,B,3,5,1,49.565607099679085,3,3,0,53.22555069750996
100317,Oncology,B,5,7,2,70.33046880670452,2,3,0,74.84938449076628
100318,Oncology,B,10,13,1,77.4547924157214,2,4,1,84.91602595569766
100319,Oncology,C,29,4,2,49.55360204632303,1,0,0,41.14230382329886
100320,Oncology,A,12,4,5,63.941647721060264,1,1,0,56.15088892179409
100321,Cardiology,B,21,7,1,34.18705388691597,2,3,0,40.990270143320735
100322,Neurology,B,14,7,2,61.92004772708864,3,1,0,69.41990498946222
100323,Neurology,C,3,9,1,44.98189955781082,3,1,0,47.767599290832976
100324,Oncology,A,14,9,2,64.49338657935819,2,4,0,78.13724042673856
100325,Endocrinology,A,4,5,1,51.78979303213672,4,2,1,75.13540615905438
100326,Neurology,B,2,11,0,60.209877825197324,2,3,1,71.69779394817697
100327,Cardiology,B,20,11,3,92.34658623752748,2,6,0,109.11534109122593
100328,Cardiology,B,24,6,3,61.522457615579505,3,4,1,83.97213109885121
100329,Oncology,B,2,8,2,67.17781547746225,4,1,0,69.25816236097573
100330,Oncology,C,31,11,1,57.482143513962654,8,2,0,81.23761787048473
100331,Oncology,C,32,7,1,33.620170345497314,6,2,0,62.34384161119094
100332,Neurology,B,2,7,1,50.458053024773584,4,3,0,58.68719002552411
100333,Oncology,A,7,8,3,51.85145282120175,1,2,0,56.226106777351866
100334,Oncology,B,12,11,3,68.70449974449558,3,0,0,61.040098076174345
100335,Oncology,A,6,3,2,65.76333831441838,5,2,1,67.75019099177628
100336,Oncology,C,21,8,4,64.77407329926112,3,1,1,73.85040328487139
100337,Endocrinology,B,26,13,2,73.45688538525378,3,4,1,103.03788514858688
100338,Neurology,B,25,10,2,42.673347213795665,3,4,1,85.5984579389047
100339,Cardiology,B,27,15,1,90.73788936297143,6,4,1,119.56394877193308
100340,Oncology,C,17,6,1,34.81065144184893,4,3,0,51.89438476566057
100341,Cardiology,A,23,4,2,40.12036715331493,5,0,0,41.34385244482364
100342,Cardiology,B,11,6,1,65.59461327309747,2,1,1,57.58677447148944
100343,Oncology,A,13,10,1,43.681737023154355,1,3,0,68.1218394471337
100344,Oncology,C,30,8,4,60.748511027378065,4,2,0,81.33564744157287
100345,Oncology,C,31,4,2,49.1178321306145,4,2,1,55.572591374215264
100346,Cardiology,B,13,5,1,67.6108355796386,3,2,0,49.92604756082359
100347,Cardiology,B,26,5,1,59.434245644214016,3,3,0,72.91986763394523
100348,Oncology,C,15,13,3,51.35143045179429,4,5,1,109.75979745003768
100349,Oncology,B,25,8,3,59.61697990890266,0,3,1,69.39592476632971
100350,Cardiology,B,5,4,2,90.36986589095224,3,0,0,66.09936048634972
100351,Cardiology,B,16,6,2,58.72685915125224,9,2,0,83.20086800718363
100352,Endocrinology,B,12,6,1,39.09403209348931,6,1,0,56.320717705281496
100353,Neurology,A,6,10,2,32.748991209410704,2,4,0,70.13163439798407
100354,Oncology,C,8,10,4,49.84222884737918,2,1,0,66.47188330537288
100355,Oncology,B,14,7,3,63.663469333948875,5,3,1,92.6392231155323
100356,Cardiology,A,28,6,5,81.82535357036099,2,2,1,89.44352790163835
100357,Oncology,C,19,9,1,73.34797360460703,2,0,0,63.611378539823704
100358,Cardiology,B,30,10,2,48.288337765796015,5,1,1,76.63094547187752
100359,Endocrinology,A,16,11,0,39.96692136793752,2,2,1,56.73015565790393
100360,Cardiology,B,3,8,4,56.89710990491057,2,4,1,86.34015228898616
